var,label
dannai_shengchan_13_dannaipd_3,蛋鹅和鹅蛋｜如果不好计算留作自家食用的数量，每天的主产品（蛋、奶）产量（斤）
dannai_shengchan_13_dannaipd_4,奶牛和牛奶｜如果不好计算留作自家食用的数量，每天的主产品（蛋、奶）产量（斤）
dannai_shengchan_14_dannaipd_1,蛋鸡和鸡蛋｜如果不好计算留作自家食用的数量，每年主产品（蛋、奶）生产天数（天）
dannai_shengchan_14_dannaipd_2,蛋鸭和鸭蛋｜如果不好计算留作自家食用的数量，每年主产品（蛋、奶）生产天数（天）
dannai_shengchan_14_dannaipd_3,蛋鹅和鹅蛋｜如果不好计算留作自家食用的数量，每年主产品（蛋、奶）生产天数（天）
dannai_shengchan_14_dannaipd_4,奶牛和牛奶｜如果不好计算留作自家食用的数量，每年主产品（蛋、奶）生产天数（天）
dannai_shengchan_15_dannaipd_1,蛋鸡和鸡蛋｜主产品（蛋、奶）用来送礼的数量（斤）
dannai_shengchan_15_dannaipd_2,蛋鸭和鸭蛋｜主产品（蛋、奶）用来送礼的数量（斤）
dannai_shengchan_15_dannaipd_3,蛋鹅和鹅蛋｜主产品（蛋、奶）用来送礼的数量（斤）
dannai_shengchan_15_dannaipd_4,奶牛和牛奶｜主产品（蛋、奶）用来送礼的数量（斤）
dannai_shengchan_16_dannaipd_1,蛋鸡和鸡蛋｜用来出售的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_16_dannaipd_2,蛋鸭和鸭蛋｜用来出售的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_16_dannaipd_3,蛋鹅和鹅蛋｜用来出售的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_16_dannaipd_4,奶牛和牛奶｜用来出售的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_17_dannaipd_1,蛋鸡和鸡蛋｜留作自家消费的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_17_dannaipd_2,蛋鸭和鸭蛋｜留作自家消费的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_17_dannaipd_3,蛋鹅和鹅蛋｜留作自家消费的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_17_dannaipd_4,奶牛和牛奶｜留作自家消费的部分的养殖地点（1=专用圈舍，2=自家庭院散养，3=其他）
dannai_shengchan_18_dannaipd_1,蛋鸡和鸡蛋｜如果用来出售的部分和留作自家消费的部分的养殖地点不一样，那么留作自家消费的部分的饲料投入（1=更少，2=一样多，3=更多）
dannai_shengchan_18_dannaipd_2,蛋鸭和鸭蛋｜如果用来出售的部分和留作自家消费的部分的养殖地点不一样，那么留作自家消费的部分的饲料投入（1=更少，2=一样多，3=更多）
dannai_shengchan_18_dannaipd_3,蛋鹅和鹅蛋｜如果用来出售的部分和留作自家消费的部分的养殖地点不一样，那么留作自家消费的部分的饲料投入（1=更少，2=一样多，3=更多）
dannai_shengchan_18_dannaipd_4,奶牛和牛奶｜如果用来出售的部分和留作自家消费的部分的养殖地点不一样，那么留作自家消费的部分的饲料投入（1=更少，2=一样多，3=更多）
dannai_shengchan_19_dannaipd_1,蛋鸡和鸡蛋｜剔除成本后的纯收入（元）
dannai_shengchan_19_dannaipd_2,蛋鸭和鸭蛋｜剔除成本后的纯收入（元）
dannai_shengchan_19_dannaipd_3,蛋鹅和鹅蛋｜剔除成本后的纯收入（元）
dannai_shengchan_19_dannaipd_4,奶牛和牛奶｜剔除成本后的纯收入（元）
data_year,数据来源年份（清洗合并附加）
dep,所属单位（部门）
diachazhe_5,调查员最后填写回答该部分的受访者的编码：___
diachazhe_7,diachazhe_7
diaochayuanName,调查员姓名
diaochayuanPhone,调查员手机号
diaochazhe_4,调查员最后填写回答该部分的受访者的编码
diaochazhe_6,调查员最后填写回答该部分的受访者的编码：___
diaochazhe_8,diaochazhe_8
diaochazhe_9,调查员最后填写回答该部分的受访者的编码：___
doulei_cons_monthly_jin,豆类及加工品｜月消费量（斤；按模块列名 token 汇总各子表 *_total；与 clean_food 口径一致；rigorous 重算）
doulei_price_wavg_yuan_per_jin,豆类及加工品｜加权平均价格（元/斤；Σ月花费/Σ月购买量；rigorous 重算，负花费已置0）
doulei_self_suff_rate,豆类及加工品｜食物自给率（月自家生产食用量/月总消费量；>1 截断为1；rigorous 重算）
doulei_selfprod_monthly_total,豆类及加工品｜月自家生产食用量（斤；题07 按提问频率折月后按 token 汇总；rigorous 重算）
family1_01_HA1,family1 成员01：与户主关系代码
family1_01_HA2,family1 成员01：性别
family1_01_HA3,family1 成员01：出生年月（阳历）
family1_01_HA4,family1 成员01：出生年月（农历）
family1_01_HA5,family1 成员01：民族代码
family1_01_HA6,family1 成员01：健康情况代码
family1_01_HA6_1,family1 成员01：若有健康问题，确诊了哪些疾病
family1_01_HA7,family1 成员01：身高（厘米）
family1_01_HA8,family1 成员01：体重（斤）
family1_01_HA9,family1 成员01：婚姻状况代码
family1_02_HA1,family1 成员02：与户主关系代码
family1_02_HA2,family1 成员02：性别
family1_02_HA3,family1 成员02：出生年月（阳历）
family1_02_HA4,family1 成员02：出生年月（农历）
family1_02_HA5,family1 成员02：民族代码
family1_02_HA6,family1 成员02：健康情况代码
family1_02_HA6_1,family1 成员02：若有健康问题，确诊了哪些疾病
family1_02_HA7,family1 成员02：身高（厘米）
family1_02_HA8,family1 成员02：体重（斤）
family1_02_HA9,family1 成员02：婚姻状况代码
family1_03_HA1,family1 成员03：与户主关系代码
family1_03_HA2,family1 成员03：性别
family1_03_HA3,family1 成员03：出生年月（阳历）
family1_03_HA4,family1 成员03：出生年月（农历）
family1_03_HA5,family1 成员03：民族代码
family1_03_HA6,family1 成员03：健康情况代码
family1_03_HA6_1,family1 成员03：若有健康问题，确诊了哪些疾病
family1_03_HA7,family1 成员03：身高（厘米）
family1_03_HA8,family1 成员03：体重（斤）
family1_03_HA9,family1 成员03：婚姻状况代码
family1_04_HA1,family1 成员04：与户主关系代码
family1_04_HA2,family1 成员04：性别
family1_04_HA3,family1 成员04：出生年月（阳历）
family1_04_HA4,family1 成员04：出生年月（农历）
family1_04_HA5,family1 成员04：民族代码
family1_04_HA6,family1 成员04：健康情况代码
family1_04_HA6_1,family1 成员04：若有健康问题，确诊了哪些疾病
family1_04_HA7,family1 成员04：身高（厘米）
family1_04_HA8,family1 成员04：体重（斤）
family1_04_HA9,family1 成员04：婚姻状况代码
family1_05_HA1,family1 成员05：与户主关系代码
family1_05_HA2,family1 成员05：性别
family1_05_HA3,family1 成员05：出生年月（阳历）
family1_05_HA4,family1 成员05：出生年月（农历）
family1_05_HA5,family1 成员05：民族代码
family1_05_HA6,family1 成员05：健康情况代码
family1_05_HA6_1,family1 成员05：若有健康问题，确诊了哪些疾病
family1_05_HA7,family1 成员05：身高（厘米）
family1_05_HA8,family1 成员05：体重（斤）
family1_05_HA9,family1 成员05：婚姻状况代码
family1_06_HA1,family1 成员06：与户主关系代码
family1_06_HA2,family1 成员06：性别
family1_06_HA3,family1 成员06：出生年月（阳历）
family1_06_HA4,family1 成员06：出生年月（农历）
family1_06_HA5,family1 成员06：民族代码
family1_06_HA6,family1 成员06：健康情况代码
family1_06_HA6_1,family1 成员06：若有健康问题，确诊了哪些疾病
family1_06_HA7,family1 成员06：身高（厘米）
family1_06_HA8,family1 成员06：体重（斤）
family1_06_HA9,family1 成员06：婚姻状况代码
family1_07_HA1,family1 成员07：与户主关系代码
family1_07_HA2,family1 成员07：性别
family1_07_HA3,family1 成员07：出生年月（阳历）
family1_07_HA4,family1 成员07：出生年月（农历）
family1_07_HA5,family1 成员07：民族代码
family1_07_HA6,family1 成员07：健康情况代码
family1_07_HA6_1,family1 成员07：若有健康问题，确诊了哪些疾病
family1_07_HA7,family1 成员07：身高（厘米）
family1_07_HA8,family1 成员07：体重（斤）
family1_07_HA9,family1 成员07：婚姻状况代码
family1_08_HA1,family1 成员08：与户主关系代码
family1_08_HA2,family1 成员08：性别
family1_08_HA3,family1 成员08：出生年月（阳历）
family1_08_HA4,family1 成员08：出生年月（农历）
family1_08_HA5,family1 成员08：民族代码
family1_08_HA6,family1 成员08：健康情况代码
family1_08_HA6_1,family1 成员08：若有健康问题，确诊了哪些疾病
family1_08_HA7,family1 成员08：身高（厘米）
family1_08_HA8,family1 成员08：体重（斤）
family1_08_HA9,family1 成员08：婚姻状况代码
family2_01_HA10,family2 成员01：文化程度代码
family2_01_HA11,family2 成员01：是否为中共党员
family2_01_HA12,family2 成员01：是否为干部代码
family2_01_HA13,family2 成员01：每年从事农业生产天数
family2_01_HA14,family2 成员01：每年从事非农工作天数
family2_01_HA15,family2 成员01：每年闲暇的天数
family2_01_HA16,family2 成员01：非农工作类型
family2_01_HA17,family2 成员01：非农工作地点
family2_01_HA18,family2 成员01：非农就业类型
family2_01_HA19,family2 成员01：上一年在家居住天数
family2_02_HA10,family2 成员02：文化程度代码
family2_02_HA11,family2 成员02：是否为中共党员
family2_02_HA12,family2 成员02：是否为干部代码
family2_02_HA13,family2 成员02：每年从事农业生产天数
family2_02_HA14,family2 成员02：每年从事非农工作天数
family2_02_HA15,family2 成员02：每年闲暇的天数
family2_02_HA16,family2 成员02：非农工作类型
family2_02_HA17,family2 成员02：非农工作地点
family2_02_HA18,family2 成员02：非农就业类型
family2_02_HA19,family2 成员02：上一年在家居住天数
family2_03_HA10,family2 成员03：文化程度代码
family2_03_HA11,family2 成员03：是否为中共党员
family2_03_HA12,family2 成员03：是否为干部代码
family2_03_HA13,family2 成员03：每年从事农业生产天数
family2_03_HA14,family2 成员03：每年从事非农工作天数
family2_03_HA15,family2 成员03：每年闲暇的天数
family2_03_HA16,family2 成员03：非农工作类型
family2_03_HA17,family2 成员03：非农工作地点
family2_03_HA18,family2 成员03：非农就业类型
family2_03_HA19,family2 成员03：上一年在家居住天数
family2_04_HA10,family2 成员04：文化程度代码
family2_04_HA11,family2 成员04：是否为中共党员
family2_04_HA12,family2 成员04：是否为干部代码
family2_04_HA13,family2 成员04：每年从事农业生产天数
family2_04_HA14,family2 成员04：每年从事非农工作天数
family2_04_HA15,family2 成员04：每年闲暇的天数
family2_04_HA16,family2 成员04：非农工作类型
family2_04_HA17,family2 成员04：非农工作地点
family2_04_HA18,family2 成员04：非农就业类型
family2_04_HA19,family2 成员04：上一年在家居住天数
family2_05_HA10,family2 成员05：文化程度代码
family2_05_HA11,family2 成员05：是否为中共党员
family2_05_HA12,family2 成员05：是否为干部代码
family2_05_HA13,family2 成员05：每年从事农业生产天数
family2_05_HA14,family2 成员05：每年从事非农工作天数
family2_05_HA15,family2 成员05：每年闲暇的天数
family2_05_HA16,family2 成员05：非农工作类型
family2_05_HA17,family2 成员05：非农工作地点
family2_05_HA18,family2 成员05：非农就业类型
family2_05_HA19,family2 成员05：上一年在家居住天数
family2_06_HA10,family2 成员06：文化程度代码
family2_06_HA11,family2 成员06：是否为中共党员
family2_06_HA12,family2 成员06：是否为干部代码
family2_06_HA13,family2 成员06：每年从事农业生产天数
family2_06_HA14,family2 成员06：每年从事非农工作天数
family2_06_HA15,family2 成员06：每年闲暇的天数
family2_06_HA16,family2 成员06：非农工作类型
family2_06_HA17,family2 成员06：非农工作地点
family2_06_HA18,family2 成员06：非农就业类型
family2_06_HA19,family2 成员06：上一年在家居住天数
family2_07_HA10,family2 成员07：文化程度代码
family2_07_HA11,family2 成员07：是否为中共党员
family2_07_HA12,family2 成员07：是否为干部代码
family2_07_HA13,family2 成员07：每年从事农业生产天数
family2_07_HA14,family2 成员07：每年从事非农工作天数
family2_07_HA15,family2 成员07：每年闲暇的天数
family2_07_HA16,family2 成员07：非农工作类型
family2_07_HA17,family2 成员07：非农工作地点
family2_07_HA18,family2 成员07：非农就业类型
family2_07_HA19,family2 成员07：上一年在家居住天数
family2_08_HA10,family2 成员08：文化程度代码
family2_08_HA11,family2 成员08：是否为中共党员
family2_08_HA12,family2 成员08：是否为干部代码
family2_08_HA13,family2 成员08：每年从事农业生产天数
family2_08_HA14,family2 成员08：每年从事非农工作天数
family2_08_HA15,family2 成员08：每年闲暇的天数
family2_08_HA16,family2 成员08：非农工作类型
family2_08_HA17,family2 成员08：非农工作地点
family2_08_HA18,family2 成员08：非农就业类型
family2_08_HA19,family2 成员08：上一年在家居住天数
family3_01_HA20,family3 成员01：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_01_HA21,family3 成员01：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_01_HA23,family3 成员01：是否为家庭主要的食物购买者
family3_01_HA24,family3 成员01：是否为家庭主要的做饭者
family3_01_HA25,family3 成员01：7月1日至今在家吃饭的天数
family3_01_HA26,family3 成员01：是否使用互联网（01是00否）
family3_01_HA27,family3 成员01：是否有可以上网的智能手机
family3_01_HA28,family3 成员01：最早可上网的智能手机购买（或获赠）年份
family3_01_HA29,family3 成员01：使用4G/5G手机功能是否存在困难
family3_01_HA30,family3 成员01：平均每天使用4G/5G手机的时长（小时）
family3_01_HA31,family3 成员01：是否使用电子支付
family3_01_HA32,family3 成员01：60岁以上是否在幸福院就餐
family3_01_HA33,family3 成员01：何时开始在幸福院就餐（年月）
family3_01_HA34,family3 成员01：每天在幸福院用几餐
family3_01_HA35,family3 成员01：60岁以上每月退休工资（元，无则0）
family3_02_HA20,family3 成员02：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_02_HA21,family3 成员02：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_02_HA23,family3 成员02：是否为家庭主要的食物购买者
family3_02_HA24,family3 成员02：是否为家庭主要的做饭者
family3_02_HA25,family3 成员02：7月1日至今在家吃饭的天数
family3_02_HA26,family3 成员02：是否使用互联网（01是00否）
family3_02_HA27,family3 成员02：是否有可以上网的智能手机
family3_02_HA28,family3 成员02：最早可上网的智能手机购买（或获赠）年份
family3_02_HA29,family3 成员02：使用4G/5G手机功能是否存在困难
family3_02_HA30,family3 成员02：平均每天使用4G/5G手机的时长（小时）
family3_02_HA31,family3 成员02：是否使用电子支付
family3_02_HA32,family3 成员02：60岁以上是否在幸福院就餐
family3_02_HA33,family3 成员02：何时开始在幸福院就餐（年月）
family3_02_HA34,family3 成员02：每天在幸福院用几餐
family3_02_HA35,family3 成员02：60岁以上每月退休工资（元，无则0）
family3_03_HA20,family3 成员03：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_03_HA21,family3 成员03：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_03_HA23,family3 成员03：是否为家庭主要的食物购买者
family3_03_HA24,family3 成员03：是否为家庭主要的做饭者
family3_03_HA25,family3 成员03：7月1日至今在家吃饭的天数
family3_03_HA26,family3 成员03：是否使用互联网（01是00否）
family3_03_HA27,family3 成员03：是否有可以上网的智能手机
family3_03_HA28,family3 成员03：最早可上网的智能手机购买（或获赠）年份
family3_03_HA29,family3 成员03：使用4G/5G手机功能是否存在困难
family3_03_HA30,family3 成员03：平均每天使用4G/5G手机的时长（小时）
family3_03_HA31,family3 成员03：是否使用电子支付
family3_03_HA32,family3 成员03：60岁以上是否在幸福院就餐
family3_03_HA33,family3 成员03：何时开始在幸福院就餐（年月）
family3_03_HA34,family3 成员03：每天在幸福院用几餐
family3_03_HA35,family3 成员03：60岁以上每月退休工资（元，无则0）
family3_04_HA20,family3 成员04：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_04_HA21,family3 成员04：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_04_HA23,family3 成员04：是否为家庭主要的食物购买者
family3_04_HA24,family3 成员04：是否为家庭主要的做饭者
family3_04_HA25,family3 成员04：7月1日至今在家吃饭的天数
family3_04_HA26,family3 成员04：是否使用互联网（01是00否）
family3_04_HA27,family3 成员04：是否有可以上网的智能手机
family3_04_HA28,family3 成员04：最早可上网的智能手机购买（或获赠）年份
family3_04_HA29,family3 成员04：使用4G/5G手机功能是否存在困难
family3_04_HA30,family3 成员04：平均每天使用4G/5G手机的时长（小时）
family3_04_HA31,family3 成员04：是否使用电子支付
family3_04_HA32,family3 成员04：60岁以上是否在幸福院就餐
family3_04_HA33,family3 成员04：何时开始在幸福院就餐（年月）
family3_04_HA34,family3 成员04：每天在幸福院用几餐
family3_04_HA35,family3 成员04：60岁以上每月退休工资（元，无则0）
family3_05_HA20,family3 成员05：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_05_HA21,family3 成员05：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_05_HA23,family3 成员05：是否为家庭主要的食物购买者
family3_05_HA24,family3 成员05：是否为家庭主要的做饭者
family3_05_HA25,family3 成员05：7月1日至今在家吃饭的天数
family3_05_HA26,family3 成员05：是否使用互联网（01是00否）
family3_05_HA27,family3 成员05：是否有可以上网的智能手机
family3_05_HA28,family3 成员05：最早可上网的智能手机购买（或获赠）年份
family3_05_HA29,family3 成员05：使用4G/5G手机功能是否存在困难
family3_05_HA30,family3 成员05：平均每天使用4G/5G手机的时长（小时）
family3_05_HA31,family3 成员05：是否使用电子支付
family3_05_HA32,family3 成员05：60岁以上是否在幸福院就餐
family3_05_HA33,family3 成员05：何时开始在幸福院就餐（年月）
family3_05_HA34,family3 成员05：每天在幸福院用几餐
family3_05_HA35,family3 成员05：60岁以上每月退休工资（元，无则0）
family3_06_HA20,family3 成员06：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_06_HA21,family3 成员06：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_06_HA23,family3 成员06：是否为家庭主要的食物购买者
family3_06_HA24,family3 成员06：是否为家庭主要的做饭者
family3_06_HA25,family3 成员06：7月1日至今在家吃饭的天数
family3_06_HA26,family3 成员06：是否使用互联网（01是00否）
family3_06_HA27,family3 成员06：是否有可以上网的智能手机
family3_06_HA28,family3 成员06：最早可上网的智能手机购买（或获赠）年份
family3_06_HA29,family3 成员06：使用4G/5G手机功能是否存在困难
family3_06_HA30,family3 成员06：平均每天使用4G/5G手机的时长（小时）
family3_06_HA31,family3 成员06：是否使用电子支付
family3_06_HA32,family3 成员06：60岁以上是否在幸福院就餐
family3_06_HA33,family3 成员06：何时开始在幸福院就餐（年月）
family3_06_HA34,family3 成员06：每天在幸福院用几餐
family3_06_HA35,family3 成员06：60岁以上每月退休工资（元，无则0）
family3_07_HA20,family3 成员07：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_07_HA21,family3 成员07：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_07_HA23,family3 成员07：是否为家庭主要的食物购买者
family3_07_HA24,family3 成员07：是否为家庭主要的做饭者
family3_07_HA25,family3 成员07：7月1日至今在家吃饭的天数
family3_07_HA26,family3 成员07：是否使用互联网（01是00否）
family3_07_HA27,family3 成员07：是否有可以上网的智能手机
family3_07_HA28,family3 成员07：最早可上网的智能手机购买（或获赠）年份
family3_07_HA29,family3 成员07：使用4G/5G手机功能是否存在困难
family3_07_HA30,family3 成员07：平均每天使用4G/5G手机的时长（小时）
family3_07_HA31,family3 成员07：是否使用电子支付
family3_07_HA32,family3 成员07：60岁以上是否在幸福院就餐
family3_07_HA33,family3 成员07：何时开始在幸福院就餐（年月）
family3_07_HA34,family3 成员07：每天在幸福院用几餐
family3_07_HA35,family3 成员07：60岁以上每月退休工资（元，无则0）
family3_08_HA20,family3 成员08：本年参加新型农村合作医疗保险投保额（元，未投保填0）
family3_08_HA21,family3 成员08：本年参加城乡居民基本养老保险/新农保的投保额（元，未投保填0）
family3_08_HA23,family3 成员08：是否为家庭主要的食物购买者
family3_08_HA24,family3 成员08：是否为家庭主要的做饭者
family3_08_HA25,family3 成员08：7月1日至今在家吃饭的天数
family3_08_HA26,family3 成员08：是否使用互联网（01是00否）
family3_08_HA27,family3 成员08：是否有可以上网的智能手机
family3_08_HA28,family3 成员08：最早可上网的智能手机购买（或获赠）年份
family3_08_HA29,family3 成员08：使用4G/5G手机功能是否存在困难
